tourney_name,city,country
auckland,Auckland,New Zealand
st. poelten,Sankt Poelten,Austria
munich,Munich,Germany
queen's club,London,United Kingdom
gstaad,Gstaad,Switzerland
newport,Newport,United States
bastad,Bastad,Sweden
amsterdam,Amsterdam,Netherlands
kitzbuhel,Kitzbuhel,Austria
stuttgart outdoor,Stuttgart,Germany
palermo,Palermo,Italy
toulouse,Toulouse,France
basel,Basel,Switzerland
tokyo,Tokyo,Japan
hong kong,Hong Kong,China
vienna,Vienna,Austria
sydney,Sydney,Australia
adelaide,Adelaide,Australia
paris masters,Paris,France
stuttgart masters,Stuttgart,Germany
bogota,Bogota,Colombia
casablanca,Casablanca,Morocco
lyon,Lyon,France
memphis,Memphis,United States
miami masters,Miami,United States
indian wells masters,Indian Wells,United States
rotterdam,Rotterdam,Netherlands
london,London,United Kingdom
atlanta,Atlanta,United States
monte carlo masters,Monte Carlo,Monaco
hamburg masters,Hamburg,Germany
rome masters,Rome,Italy
washington,Washington,United States
indianapolis,Indianapolis,United States
canada masters,Toronto,Canada
cincinnati masters,Cincinnati,United States
los angeles,Los Angeles,United States
san jose,San Jose,United States
barcelona,Barcelona,Spain
stockholm,Stockholm,Sweden
scottsdale,Scottsdale, United States
moscow,Moscow,Russia
umag,Umag,Croatia
's-hertogenbosch,'s-Hertogenbosch,Netherlands
long island,Long island,United States
doha,Doha,Qatar
estoril,Estoril,Portugal
san marino,San Marino,San Marino
copenhagen,Copenhagen,Denmark
dubai,Dubai,United Arab Emirates
marseille,Marseille,France
delray beach,Delray Beach,United States
halle,Halle,Germany
santiago,Santiago,Chile
roland garros,Paris, France
wimbledon,London,United Kingdom
us open,New York,United States
st. petersburg,Saint Petersburg,Russia
mallorca,Mallorca,Spain
australian open,Melbourne,Australia
masters cup / tour finals,London,United Kingdom
dusseldorf,Dusseldorf,Germany
brighton,Brighton,United Kingdom
orlando,Orlando,United States
tashkent,Tashkent,Uzbekistan
nottingham,Nottingham,United Kingdom
bucharest,Bucharest,Romania
mexico city,Mexico City,Mexico
shanghai,Shanghai,China
chennai,Chennai,India
sydney olympics,Sydney,Australia
stuttgart,Stuttgart,Germany
milan,Milan,Italy
canada masters,Montreal,Canada
sopot - ws,Warsaw,Poland
vina del mar,Vina del Mar,Chile
buenos aires,Buenos Aires,Argentina
costa do sauipe,Costa Do Sauipe,Brazil
houston,Houston,United States
acapulco,Acapulco,Mexico
madrid masters,Madrid,Spain
amersfoort,Amersfoort,Netherland
sopot,Sopot,Poland
bangkok,Bangkok,Thailand
metz,Metz,France
valencia,Valencia,Spain
beijing,Beijing,China
athens olympics,Athens,Greece
new haven,New Haven,United States
ho chi minh city,Ho Chi Minh City,Vietnam
zagreb,Zagreb,Croatia
poertschach,Poertschach,Austria
mumbai,Mumbai,India
las vegas,Las vegas,United States
s-hertogenbosch,s-Hertogenbosch,Netherlands
warsaw,Warsaw,Poland
beijing olympics,Beijing,China
brisbane,Brisbane,Australia
hamburg,Hamburg,Germany
johannesburg,Johannesburg,South Africa
shanghai masters,Shanghai,China
viña del mar,Vina del Mar,Chile
belgrade,Belgrade,Serbia
kuala lumpur,Kuala Lumpur,Malaysia
eastbourne,Eastbourne,United Kingdom
montpellier,Montpellier,France
nice,Nice,France
winston-salem,Winston-Salem,United States
sao paulo,Sao Paulo,Brazil
london olympics,London,United Kingdom
power horse cup,Dusseldorf,Germany
rio de janeiro,Rio de Janeiro,Brazil
shenzhen,Shenzhen,China
geneva,Geneva,Italy
quito,Quito,Ecuador
istanbul,Istanbul,Turkey
marrakech,Marrakech,Morocco
st.petersburg,Saint Petersburg,Russia
sofia,Sofia,Bulgaria
los cabos,Los Cabos,Mexico
antwerp,Antwerp,Belgium
chengdu,Chengdu,China
olympics,Rio de Janeiro,Brazil
budapest,Budapest,Hungary
antalya,Antalya,Turkey
